Body,Name of Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,
18,Devon County Council,11/01/2011,CYPNMLOC19133206,KDR - 15,13550.00,3-DIMENSIONS CARE LTD,255016,,Children & Younger Persons,Childcare Residential - Independent,7701,
18,Devon County Council,12/01/2011,CYPSWLOC19142151,CY11,18121.71,3-DIMENSIONS CARE LTD,255016,,Children & Younger Persons,Childcare Residential - Independent,7701,
18,Devon County Council,12/01/2011,CFADRES19020286,REDACTED UNDER DP ACT,920.00,A & L CARE HOMES LTD,89699,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,26/01/2011,CFADRES19020957,REDACTED UNDER DP ACT,920.00,A & L CARE HOMES LTD,89699,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,10/01/2011,DCCS19147459,42099,3990.00,A + D-SW SUPPLIES,176219,,Children & Younger Persons,Clothing Laundry & Dry Cleaning,4601,
18,Devon County Council,14/01/2011,EXCHEQ19299679,43923,476.20,A + D-SW SUPPLIES,176219,,Children & Younger Persons,Consumable Materials,4149,
18,Devon County Council,06/01/2011,EARLYRS19193134,EYP0000017173,3601.95,A B C DAY NURSERY (CULLOMPTON),40256,,Children & Younger Persons,Payment To Voluntary Providers,7341,
18,Devon County Council,12/01/2011,EARLYRS19193544,INCENTIVISING,2000.00,A B C DAY NURSERY (CULLOMPTON),40256,,Children & Younger Persons,Grants to Voluntary Bodies,8001,
18,Devon County Council,06/01/2011,EARLYRS19193135,EYP0000017174,7540.20,A B C DAY NURSERY (EXMOUTH),84088,,Children & Younger Persons,Payment To Voluntary Providers,7341,
18,Devon County Council,21/01/2011,EXCHEQ19302627,20957,630.00,A B COACHES LTD,4161,,Children & Younger Persons,Other Hired Transport- Education,5251,
18,Devon County Council,25/01/2011,CYPCENT19113842,2,3500.00,A BRIGHTER TOMORROW,203721,,Children & Younger Persons,Grant Payments,8025,
18,Devon County Council,26/01/2011,EXCHEQ19304290,553,670.00,A C LANDSCAPE & TREEWORKS LTD,272661,934504334,Children & Younger Persons,Capital Building Works,8321,
18,Devon County Council,19/01/2011,EXCHEQ19301311,2547,1850.00,A C S LTD,137168,798068370,Children & Younger Persons,Capital Building Works,8321,
18,Devon County Council,14/01/2011,EXCHEQ19299387,2861,2380.00,A C WORTH,246168,144126887,Children & Younger Persons,Capital Building Works,8321,
18,Devon County Council,14/01/2011,EXCHEQ19299388,2862,1198.00,A C WORTH,246168,144126887,Children & Younger Persons,Improvements,3231,
18,Devon County Council,05/01/2011,CFADDOM18990289,REDACTED UNDER DP ACT,1717.10,A G CARE LIMITED/MR B J JONES,265940,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,24/01/2011,CFADDOM18991717,REDACTED UNDER DP ACT,1747.90,A G CARE LIMITED/MR B J JONES,265940,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,05/01/2011,NPSWI19518577,2136,973.00,A J CONTRACTORS (DEVON) LTD,23596,540466358,Chief Executives,Building Mtce Works,2101,
18,Devon County Council,10/01/2011,NPSWI19518638,2132,1000.00,A J CONTRACTORS (DEVON) LTD,23596,540466358,Chief Executives,Building Mtce Works,2101,
18,Devon County Council,10/01/2011,NPSWI19518639,2134,1189.00,A J CONTRACTORS (DEVON) LTD,23596,540466358,Chief Executives,Building Mtce Works,2101,
18,Devon County Council,20/01/2011,EXCHEQ19301910,2147,677.49,A J CONTRACTORS (DEVON) LTD,23596,540466358,Children & Younger Persons,Internal Works,2671,
18,Devon County Council,24/01/2011,EXCHEQ19303573,AJG/37,1750.00,A J G REMOVALS,273108,754879277,Children & Younger Persons,Misc Other,8199,
18,Devon County Council,13/01/2011,EXCHEQ19298958,3748,40850.00,A M B SPORTS LIMITED,272508,756688176,Children & Younger Persons,Capital Building Works,8321,
18,Devon County Council,17/01/2011,EXCHEQ19298679,11707,980.00,A M S 2000 LTD,84028,742335056,Children & Younger Persons,External Works,2672,
18,Devon County Council,21/01/2011,NPSWI19518775,11708,480.00,A M S 2000 LTD,84028,742335056,Chief Executives,DDA & ASBESTOS SURVEYS - EDUCATION,2117,
18,Devon County Council,13/01/2011,FINMH19400498,JMY4-457,500.00,A R C,267671,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,20/01/2011,FINMH19400536,JMY5-473,2000.00,A R C,267671,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,20/01/2011,FINMH19400537,JMY6-483,1000.00,A R C,267671,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,17/01/2011,DPMANUAL19177295,5018544,882.50,A T L TELECOM LTD,123969,790642023,Corporate Resources,Direct Delivery (DPS),3044,
18,Devon County Council,12/01/2011,CFADRES19020575,REDACTED UNDER DP ACT,4808.36,AARON COURT,173212,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,26/01/2011,CFADRES19021245,REDACTED UNDER DP ACT,2988.94,AARON COURT,173212,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,12/01/2011,CFADRES19020689,REDACTED UNDER DP ACT,1279.20,ABBEY VIEW,222686,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,26/01/2011,CFADRES19021357,REDACTED UNDER DP ACT,1279.20,ABBEY VIEW,222686,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,26/01/2011,CFSUPP19103121,REDACTED UNDER DP ACT,652.68,ABBEYFIELD (TIVERTON) SOC LTD,120579,,Adult & Community Services,Accomodation Based Services,7751,
18,Devon County Council,12/01/2011,CFADRES19020202,REDACTED UNDER DP ACT,760.86,ABBEYFIELD E DEV EXTRA CARE SOC,88511,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,26/01/2011,CFADRES19020873,REDACTED UNDER DP ACT,1508.39,ABBEYFIELD E DEV EXTRA CARE SOC,88511,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,26/01/2011,CFSUPP19102992,REDACTED UNDER DP ACT,610.72,ABBEYFIELD SIDMOUTH SOCIETY,35683,,Adult & Community Services,Accomodation Based Services,7751,
18,Devon County Council,26/01/2011,CFSUPP19103118,REDACTED UNDER DP ACT,503.72,ABBEYFIELD(SOUTH MOLTON)SOC LTD,120575,,Adult & Community Services,Accomodation Based Services,7751,
18,Devon County Council,06/01/2011,EARLYRS19193131,EYP0000017170,9832.35,ABBOTSBURY SCHOOL,36190,,Children & Younger Persons,Payment To Voluntary Providers,7341,
18,Devon County Council,20/01/2011,EARLYRS19193683,Aut Depri 50009,1045.00,ABBOTSBURY SCHOOL,36190,,Children & Younger Persons,Pur Dom Care-Client/Carer Supp,7340,
18,Devon County Council,12/01/2011,CFADRES19020163,REDACTED UNDER DP ACT,7638.27,ABBOTSFIELD NURSING HOME,86776,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,06/01/2011,EARLYRS19193132,EYP0000017171,7330.46,ABBOTSHAM & ALWINGTON PRE-SCHOOL,66648,,Children & Younger Persons,Payment To Voluntary Providers,7341,
18,Devon County Council,06/01/2011,EARLYRS19193133,EYP0000017172,3397.52,ABBOTSKERSWELL PRE SCHOOL,39727,,Children & Younger Persons,Payment To Voluntary Providers,7341,
18,Devon County Council,10/01/2011,EARLYRS19193115,771,1200.00,ACACIA TRAINING & DEVELOPMENT LT,175183,586323128,Children & Younger Persons,Course Fees / Registration,4807,
18,Devon County Council,10/01/2011,EARLYRS19193116,769,1200.00,ACACIA TRAINING & DEVELOPMENT LT,175183,586323128,Children & Younger Persons,Course Fees / Registration,4807,
18,Devon County Council,10/01/2011,EARLYRS19193117,772,1200.00,ACACIA TRAINING & DEVELOPMENT LT,175183,586323128,Children & Younger Persons,Course Fees / Registration,4807,
18,Devon County Council,10/01/2011,EARLYRS19193118,770,1200.00,ACACIA TRAINING & DEVELOPMENT LT,175183,586323128,Children & Younger Persons,Course Fees / Registration,4807,
18,Devon County Council,26/01/2011,EARLYRS19193791,775,1200.00,ACACIA TRAINING & DEVELOPMENT LT,175183,586323128,Children & Younger Persons,Course Fees / Registration,4807,
18,Devon County Council,26/01/2011,EARLYRS17239287,779,-1200.00,ACACIA TRAINING & DEVELOPMENT LT,175183,586323128,Children & Younger Persons,Course Fees / Registration,4807,
18,Devon County Council,07/01/2011,ECONEUR19198421,5153,1050.00,ACADEMY OF TRAINING LTD,100437,501365192,"Environment, Economy & Culture",Special Projects Expenditure,8180,
18,Devon County Council,19/01/2011,DPMANUAL19177353,702634 -2,945.12,ACCO UK LTD,34822,,Corporate Resources,Stationery,3078,
18,Devon County Council,07/01/2011,NPSWI19518615,NV102425,1460.78,ACCORD LIFT SERVICES LTD,244013,703137376,Chief Executives,Building Mtce Works,2101,
18,Devon County Council,10/01/2011,NPSWI19518629,NV102438,1807.84,ACCORD LIFT SERVICES LTD,244013,703137376,Chief Executives,Backlog Building Maintenance Works,2102,
18,Devon County Council,10/01/2011,NPSWI19518630,NV102437,1205.54,ACCORD LIFT SERVICES LTD,244013,703137376,Chief Executives,Backlog Building Maintenance Works,2102,
18,Devon County Council,10/01/2011,EARLYRS19193114,066/10,5858.37,ACDHELP.COM LTD,255658,,Children & Younger Persons,Course Fees / Registration,4807,
18,Devon County Council,31/01/2011,EARLYRS19193793,001/11,2974.32,ACDHELP.COM LTD,255658,,Children & Younger Persons,Course Fees / Registration,4807,
18,Devon County Council,18/01/2011,EXCHEQ19301044,1101502A,2000.00,ACORN ADVENTURE,102042,388629784,Children & Younger Persons,Educational Visits,8182,
18,Devon County Council,04/01/2011,FINSSCW19417147,040111,750.00,ACORN COMMUNITY SUPPORT,90520,,Adult & Community Services,Social Services Grants,7703,
18,Devon County Council,26/01/2011,FINMDAD19399694,65,4489.00,ACORN COMMUNITY SUPPORT GROUP,35836,,Adult & Community Services,Social Services Contracts,7739,
18,Devon County Council,13/01/2011,NPSWI19518658,10439,438.80,ACORN ECOLOGY LTD,156090,,Children & Younger Persons,Consultancy / Professional Fees,4839,
18,Devon County Council,06/01/2011,EARLYRS19193136,EYP0000017175,10121.00,ACORN KINDERGARTEN,34525,,Children & Younger Persons,Payment To Voluntary Providers,7341,
18,Devon County Council,06/01/2011,EARLYRS19193137,EYP0000017176,5256.90,ACORNS DAY NURSERY (EXETER),66779,,Children & Younger Persons,Payment To Voluntary Providers,7341,
18,Devon County Council,06/01/2011,EARLYRS19193138,EYP0000017177,3748.86,ACORNS NURSERY UNIT,37263,,Children & Younger Persons,Payment To Voluntary Providers,7341,
18,Devon County Council,06/01/2011,EARLYRS19193478,EYP0000017524,6746.36,ACTION FOR CHILDREN,168107,,Children & Younger Persons,Payment To Voluntary Providers,7341,
18,Devon County Council,07/01/2011,EARLYRS19193129,EY103,500.00,ACTION FOR CHILDREN,242892,,Children & Younger Persons,Learning & Development,4328,
18,Devon County Council,11/01/2011,LDP19659621,ECAT,900.00,ACTION FOR CHILDREN,168107,,Children & Younger Persons,Reimbursements To Schools,4847,
18,Devon County Council,20/01/2011,CYPNMLOC19133465,R31INV/00005105,131250.00,ACTION FOR CHILDREN,217119,589629566,Children & Younger Persons,Social Services Contracts,7739,
18,Devon County Council,20/01/2011,CYPNMLOC17237162,R31CRN/00000263,-3573.86,ACTION FOR CHILDREN,217119,589629566,Children & Younger Persons,Independent Fostering,7757,
18,Devon County Council,20/01/2011,CYPNMLOC17237163,R31CRN/00000264,-3702.29,ACTION FOR CHILDREN,217119,589629566,Children & Younger Persons,Independent Fostering,7757,
18,Devon County Council,20/01/2011,EARLYRS19193747,Aut Depri 50027,1862.00,ACTION FOR CHILDREN,168107,,Children & Younger Persons,Pur Dom Care-Client/Carer Supp,7340,
18,Devon County Council,21/01/2011,CYPNMLOC19133346,R31INV/00005047,131250.00,ACTION FOR CHILDREN,217119,589629566,Children & Younger Persons,Social Services Contracts,7739,
18,Devon County Council,25/01/2011,CYPNMLOC19133348,R31INV/00005174,3573.86,ACTION FOR CHILDREN,217119,589629566,Children & Younger Persons,Independent Fostering,7757,
18,Devon County Council,25/01/2011,CYPNMLOC19133349,R31INV/00005173,3702.29,ACTION FOR CHILDREN,217119,589629566,Children & Younger Persons,Independent Fostering,7757,
18,Devon County Council,25/01/2011,CYPNMLOC19133436,R31INV/00005182,3573.86,ACTION FOR CHILDREN,217119,589629566,Children & Younger Persons,Independent Fostering,7757,
18,Devon County Council,25/01/2011,CYPNMLOC19133440,R31INV/00005183,3702.29,ACTION FOR CHILDREN,217119,589629566,Children & Younger Persons,Independent Fostering,7757,
18,Devon County Council,27/01/2011,EARLYRS19193787,R81IN1/00000089,104131.50,ACTION FOR CHILDREN(LONDON),61623,589629566,Children & Younger Persons,Grants to Voluntary Bodies,8001,
18,Devon County Council,27/01/2011,EARLYRS19193800,R81IN1/00000091,29331.75,ACTION FOR CHILDREN(LONDON),61623,589629566,Children & Younger Persons,Grants to Voluntary Bodies,8001,
18,Devon County Council,27/01/2011,EARLYRS19193801,R81IN1/00000088,71330.75,ACTION FOR CHILDREN(LONDON),61623,589629566,Children & Younger Persons,Grants to Voluntary Bodies,8001,
18,Devon County Council,27/01/2011,EARLYRS19193803,R8IN1/00000084,117815.50,ACTION FOR CHILDREN(LONDON),61623,589629566,Children & Younger Persons,Grants to Voluntary Bodies,8001,
18,Devon County Council,11/01/2011,LDP19659616,ECAT,1500.00,ACTION FOR CHILDREN-SURE START,111662,,Children & Younger Persons,Reimbursements To Schools,4847,
18,Devon County Council,18/01/2011,DITS19168182,1944,540.00,ADAM CONTINUITY,268649,818282223,Corporate Resources,Support Contracts,5517,
18,Devon County Council,19/01/2011,EXCHEQ19301627,7508,1707.60,ADAPTABLE TRAVEL,271612,,Children & Younger Persons,Educational Visits,8182,
18,Devon County Council,12/01/2011,CFADRES19020294,REDACTED UNDER DP ACT,15596.56,ADELAIDE LODGE CARE HOME PRTNSHP,89773,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,26/01/2011,CFADRES19020965,REDACTED UNDER DP ACT,13972.84,ADELAIDE LODGE CARE HOME PRTNSHP,89773,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,04/01/2011,FINMH19400443,DEC 10,525.00,ADLER,185922,,Adult & Community Services,Standby Payment,1820,
18,Devon County Council,19/01/2011,CYPIHRES19124804,190015,665.00,ADOPTION UK,105628,795034217,Children & Younger Persons,Other Advert Publicity,6175,
18,Devon County Council,19/01/2011,CYPIHRES19124806,190016,665.00,ADOPTION UK,105628,795034217,Children & Younger Persons,Other Advert Publicity,6175,
18,Devon County Council,17/01/2011,EXCHEQ19300764,507,468.60,ADROIT SERVICES,130553,947594468,Children & Younger Persons,Capital Building Works,8321,
18,Devon County Council,18/01/2011,RECSERV19559345,01540375,4405.43,ADVANTAGE HEALTHCARE NURSING/CRE,256140,853731615,Corporate Resources,Hire Of Temporary / Agency Staff,4840,
18,Devon County Council,25/01/2011,RECSERV19559391,01541325,1407.75,ADVANTAGE HEALTHCARE NURSING/CRE,256140,853731615,Corporate Resources,Hire Of Temporary / Agency Staff,4840,
18,Devon County Council,17/01/2011,CFADDOM18991221,REDACTED UNDER DP ACT,531.30,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991224,REDACTED UNDER DP ACT,631.40,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991225,REDACTED UNDER DP ACT,860.47,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991228,REDACTED UNDER DP ACT,1293.60,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991229,REDACTED UNDER DP ACT,654.50,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991234,REDACTED UNDER DP ACT,539.00,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991235,REDACTED UNDER DP ACT,831.60,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991237,REDACTED UNDER DP ACT,523.60,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991238,REDACTED UNDER DP ACT,1443.78,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991239,REDACTED UNDER DP ACT,1051.05,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991240,REDACTED UNDER DP ACT,1097.25,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991241,REDACTED UNDER DP ACT,847.10,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991245,REDACTED UNDER DP ACT,646.80,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991247,REDACTED UNDER DP ACT,716.10,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991250,REDACTED UNDER DP ACT,723.80,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991253,REDACTED UNDER DP ACT,539.00,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991255,REDACTED UNDER DP ACT,970.20,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991256,REDACTED UNDER DP ACT,554.40,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991261,REDACTED UNDER DP ACT,631.40,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991262,REDACTED UNDER DP ACT,1164.00,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,17/01/2011,CFADDOM18991265,REDACTED UNDER DP ACT,862.40,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991820,REDACTED UNDER DP ACT,2071.30,ADVENT CARE TEAM LTD,168316,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,27/01/2011,EXCHEQ19304824,TEDB111A,1150.00,ADVENTURE INTERNATIONAL,264186,501136702,Children & Younger Persons,Educational Visits,8182,
18,Devon County Council,18/01/2011,EXCHEQ19300824,1464,1957.50,ADVENTURE OKEHAMPTON,224016,692731805,Children & Younger Persons,Educational Visits,8182,
18,Devon County Council,17/01/2011,CFADDAY18976244,REDACTED UNDER DP ACT,2471.56,AGE CONCERN (EXMOUTH),5761,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,04/01/2011,FINNDAD19411084,2010/11 4TH QRT,5920.75,AGE CONCERN BARNSTAPLE,34981,,Adult & Community Services,Social Services Contracts,7739,
18,Devon County Council,17/01/2011,CFADDAY18976255,REDACTED UNDER DP ACT,1805.64,AGE CONCERN CREDITON,35273,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,26/01/2011,CFSUPP19102982,REDACTED UNDER DP ACT,940.36,AGE CONCERN DEVON,24766,,Adult & Community Services,Floating Support Service,7753,
18,Devon County Council,05/01/2011,CFADDAY18975582,REDACTED UNDER DP ACT,3269.00,AGE CONCERN EXETER,34456,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,05/01/2011,CFADDAY18975583,REDACTED UNDER DP ACT,4172.40,AGE CONCERN EXETER,34456,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,05/01/2011,CFADDAY18975584,REDACTED UNDER DP ACT,8564.78,AGE CONCERN EXETER,34456,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,10/01/2011,CFADDAY18975694,REDACTED UNDER DP ACT,5541.25,AGE CONCERN EXETER,34456,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,24/01/2011,CFADDAY18976601,REDACTED UNDER DP ACT,3269.00,AGE CONCERN EXETER,34456,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,26/01/2011,CFADDAY18976740,REDACTED UNDER DP ACT,851.88,AGE CONCERN EXETER,34456,,Adult & Community Services,Individualised Support,7640,
18,Devon County Council,26/01/2011,CFADDAY18976741,REDACTED UNDER DP ACT,4135.10,AGE CONCERN EXETER,34456,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,26/01/2011,CFADDAY18976742,REDACTED UNDER DP ACT,8139.82,AGE CONCERN EXETER,34456,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,17/01/2011,CFADDAY18976254,REDACTED UNDER DP ACT,2950.68,AGE CONCERN TIVERTON & DISTRICT,25403,,Adult & Community Services,Day Care Spot,7001,
18,Devon County Council,26/01/2011,CFSUPP19103028,REDACTED UNDER DP ACT,13370.96,AGE CONCERN(SPP PEOPLE PMTS ONLY,91595,,Adult & Community Services,Floating Support Service,7753,
18,Devon County Council,05/01/2011,CFADDAY18975602,REDACTED UNDER DP ACT,1714.50,AGENCY ASSISTANCE,87496,754992187,Adult & Community Services,Individualised Support,7640,
18,Devon County Council,05/01/2011,CFADDAY18975603,REDACTED UNDER DP ACT,2391.00,AGENCY ASSISTANCE,87496,754992187,Adult & Community Services,Individualised Support,7640,
18,Devon County Council,05/01/2011,CFADDAY18975604,REDACTED UNDER DP ACT,598.73,AGENCY ASSISTANCE,87496,754992187,Adult & Community Services,Individualised Support,7640,
18,Devon County Council,05/01/2011,CFADDAY18975606,REDACTED UNDER DP ACT,877.00,AGENCY ASSISTANCE,87496,754992187,Adult & Community Services,Individualised Support,7640,
18,Devon County Council,05/01/2011,CFADDAY18975608,REDACTED UNDER DP ACT,877.00,AGENCY ASSISTANCE,87496,754992187,Adult & Community Services,Individualised Support,7640,
18,Devon County Council,05/01/2011,FINEXEAD19399212,6317B,1104.36,AGENCY ASSISTANCE,87496,754992187,Adult & Community Services,Agency Staff Non Teaching,4851,
18,Devon County Council,05/01/2011,FINEXEAD19399213,6356B,1507.35,AGENCY ASSISTANCE,87496,754992187,Adult & Community Services,Agency Staff Non Teaching,4851,
